ppm,Treatment,Block,Sub group,Herbicide,Depth,Week
0.68194625,4,3,c,s-metolachlor,2,4
0.3678275,1,1,a,s-metolachlor,1,5
0.301735,1,1,a,s-metolachlor,2,5
0.287665,1,1,b,s-metolachlor,1,5
0.3778625,1,1,b,s-metolachlor,2,5
0.2979675,1,1,c,s-metolachlor,1,5
0.6220125,1,1,c,s-metolachlor,2,5
0.265315,2,1,a,s-metolachlor,1,5
0.27801,2,1,a,s-metolachlor,2,5
0.332885,2,1,b,s-metolachlor,1,5
0.321275,2,1,b,s-metolachlor,2,5
0.364625,2,1,c,s-metolachlor,1,5
0.3805625,2,1,c,s-metolachlor,2,5
0.314395,3,1,a,s-metolachlor,1,5
0.39874,3,1,a,s-metolachlor,2,5
0.284675,3,1,b,s-metolachlor,1,5
0.4129125,3,1,b,s-metolachlor,2,5
0.3109325,3,1,c,s-metolachlor,1,5
0.398845,3,1,c,s-metolachlor,2,5
0.3160925,4,1,a,s-metolachlor,1,5
0.3983825,4,1,a,s-metolachlor,2,5
0.2974425,4,1,b,s-metolachlor,1,5
0.3612875,4,1,b,s-metolachlor,2,5
0.284655,4,1,c,s-metolachlor,1,5
0.2746,4,1,c,s-metolachlor,2,5
0.3057475,1,2,a,s-metolachlor,1,5
0.297275,1,2,a,s-metolachlor,2,5
0.313885,1,2,b,s-metolachlor,1,5
0.3547425,1,2,b,s-metolachlor,2,5
0.306675,1,2,c,s-metolachlor,1,5
0.3407325,1,2,c,s-metolachlor,2,5
0.2929875,2,2,a,s-metolachlor,1,5
0.2960775,2,2,a,s-metolachlor,2,5
0.2793675,2,2,b,s-metolachlor,1,5
0.3613525,2,2,b,s-metolachlor,2,5
0.30314,2,2,c,s-metolachlor,1,5
0.30858,2,2,c,s-metolachlor,2,5
0.270835,3,2,a,s-metolachlor,1,5
0.34798,3,2,a,s-metolachlor,2,5
0.2813875,3,2,b,s-metolachlor,1,5
0.3189625,3,2,b,s-metolachlor,2,5
0.2906875,3,2,c,s-metolachlor,1,5
0.3100025,3,2,c,s-metolachlor,2,5
0.3642225,4,2,a,s-metolachlor,1,5
0.40663,4,2,a,s-metolachlor,2,5
0.2787725,4,2,b,s-metolachlor,1,5
0.5667025,4,2,b,s-metolachlor,2,5
0.27205,4,2,c,s-metolachlor,1,5
0.4331725,4,2,c,s-metolachlor,2,5
0.3029,1,3,a,s-metolachlor,1,5
0.3724125,1,3,a,s-metolachlor,2,5
0.273465,1,3,b,s-metolachlor,1,5
0.3207775,1,3,b,s-metolachlor,2,5
0.320345,1,3,c,s-metolachlor,1,5
0.3803475,1,3,c,s-metolachlor,2,5
0.360735,2,3,a,s-metolachlor,1,5
0.3967525,2,3,a,s-metolachlor,2,5
0.3009275,2,3,b,s-metolachlor,1,5
0.3388475,2,3,b,s-metolachlor,2,5
0.27517,2,3,c,s-metolachlor,1,5
0.2838875,2,3,c,s-metolachlor,2,5
0.296425,3,3,a,s-metolachlor,1,5
0.305025,3,3,a,s-metolachlor,2,5
0.361955,3,3,b,s-metolachlor,1,5
0.3922325,3,3,b,s-metolachlor,2,5
0.291725,3,3,c,s-metolachlor,1,5
0.3340775,3,3,c,s-metolachlor,2,5
0.32192,4,3,a,s-metolachlor,1,5
0.3883025,4,3,a,s-metolachlor,2,5
0.2816375,4,3,b,s-metolachlor,1,5
0.5245375,4,3,b,s-metolachlor,2,5
0.29119,4,3,c,s-metolachlor,1,5
0.3376625,4,3,c,s-metolachlor,2,5
0.1400525,1,1,a,s-metolachlor,1,6
0.18566,1,1,a,s-metolachlor,2,6
0.0260425,1,1,b,s-metolachlor,1,6
0.22822,1,1,b,s-metolachlor,2,6
0.1503475,1,1,c,s-metolachlor,1,6
0.3111475,1,1,c,s-metolachlor,2,6
0.0466725,2,1,a,s-metolachlor,1,6
0.1001475,2,1,a,s-metolachlor,2,6
0.1478475,2,1,b,s-metolachlor,1,6
0.04544,2,1,b,s-metolachlor,2,6
0.1969775,2,1,c,s-metolachlor,1,6
0.0561675,2,1,c,s-metolachlor,2,6
0.1482625,3,1,a,s-metolachlor,1,6
0.1021925,3,1,a,s-metolachlor,2,6
0.1362025,3,1,b,s-metolachlor,1,6
0.056315,3,1,b,s-metolachlor,2,6
0.1044075,3,1,c,s-metolachlor,1,6
0.32866,3,1,c,s-metolachlor,2,6
0.0629875,4,1,a,s-metolachlor,1,6
0.2287475,4,1,a,s-metolachlor,2,6
0.1545725,4,1,b,s-metolachlor,1,6
0.1735475,4,1,b,s-metolachlor,2,6
0.140265,4,1,c,s-metolachlor,1,6
0.2664075,4,1,c,s-metolachlor,2,6
0.1324525,1,2,a,s-metolachlor,1,6
0.117905,1,2,a,s-metolachlor,2,6
0.077375,1,2,b,s-metolachlor,1,6
0.4680675,1,2,b,s-metolachlor,2,6
0.03143,1,2,c,s-metolachlor,1,6
0.0269525,1,2,c,s-metolachlor,2,6
0.0349075,2,2,a,s-metolachlor,1,6
0.16823,2,2,a,s-metolachlor,2,6
0.1406725,2,2,b,s-metolachlor,1,6
0.3740875,2,2,b,s-metolachlor,2,6
0.09315,2,2,c,s-metolachlor,1,6
0.201215,2,2,c,s-metolachlor,2,6
0.1327575,3,2,a,s-metolachlor,1,6
0.0501825,3,2,a,s-metolachlor,2,6
0.103175,3,2,b,s-metolachlor,1,6
0.2905625,3,2,b,s-metolachlor,2,6
0.1635675,3,2,c,s-metolachlor,1,6
0.2086675,3,2,c,s-metolachlor,2,6
0.1194025,4,2,a,s-metolachlor,1,6
0.1438775,4,2,a,s-metolachlor,2,6
0.2263025,4,2,b,s-metolachlor,1,6
0.2610825,4,2,b,s-metolachlor,2,6
0.059915,4,2,c,s-metolachlor,1,6
0.2011775,4,2,c,s-metolachlor,2,6
0.06212,1,3,a,s-metolachlor,1,6
0.1905875,1,3,a,s-metolachlor,2,6
0.09838,1,3,b,s-metolachlor,1,6
0.2592225,1,3,b,s-metolachlor,2,6
0.15105,1,3,c,s-metolachlor,1,6
0.2298125,1,3,c,s-metolachlor,2,6
0.1889125,2,3,a,s-metolachlor,1,6
0.190165,2,3,a,s-metolachlor,2,6
0.2186725,2,3,b,s-metolachlor,1,6
0.2541525,2,3,b,s-metolachlor,2,6
0.171225,2,3,c,s-metolachlor,1,6
0.18431,2,3,c,s-metolachlor,2,6
0.158705,3,3,a,s-metolachlor,1,6
0.3094525,3,3,a,s-metolachlor,2,6
0.18509,3,3,b,s-metolachlor,1,6
0.4536025,3,3,b,s-metolachlor,2,6
0.15348,3,3,c,s-metolachlor,1,6
0.1675075,3,3,c,s-metolachlor,2,6
0.20915,4,3,a,s-metolachlor,1,6
0.35166,4,3,a,s-metolachlor,2,6
0.07618,4,3,b,s-metolachlor,1,6
0.38945,4,3,b,s-metolachlor,2,6
0.22457,4,3,c,s-metolachlor,1,6
0.2214775,4,3,c,s-metolachlor,2,6
0.0115475,1,1,a,s-metolachlor,1,7
0.01557775,1,1,a,s-metolachlor,2,7
0.00815625,1,1,b,s-metolachlor,1,7
0.0106585,1,1,b,s-metolachlor,2,7
0.00511875,1,1,c,s-metolachlor,1,7
0.01355775,1,1,c,s-metolachlor,2,7
0.010166,2,1,a,s-metolachlor,1,7
0.0121465,2,1,a,s-metolachlor,2,7
0.0123945,2,1,b,s-metolachlor,1,7
0.0136095,2,1,b,s-metolachlor,2,7
0.01361125,2,1,c,s-metolachlor,1,7
0.01661825,2,1,c,s-metolachlor,2,7
0.00429375,3,1,a,s-metolachlor,1,7
0.01617,3,1,a,s-metolachlor,2,7
0.00726375,3,1,b,s-metolachlor,1,7
0.00906325,3,1,b,s-metolachlor,2,7
0.01073875,3,1,c,s-metolachlor,1,7
0.02355825,3,1,c,s-metolachlor,2,7
0.01782275,4,1,a,s-metolachlor,1,7
0.02216325,4,1,a,s-metolachlor,2,7
0.00735825,4,1,b,s-metolachlor,1,7
0.0086865,4,1,b,s-metolachlor,2,7
0.00986125,4,1,c,s-metolachlor,1,7
0.014189,4,1,c,s-metolachlor,2,7
0.004489,1,2,a,s-metolachlor,1,7
0.005671,1,2,a,s-metolachlor,2,7
0.01280675,1,2,b,s-metolachlor,1,7
0.0228365,1,2,b,s-metolachlor,2,7
0.008661,1,2,c,s-metolachlor,1,7
0.011632,1,2,c,s-metolachlor,2,7
0.0118735,2,2,a,s-metolachlor,1,7
